Id,Label,Publication,V,P,DOI,Title,Publication_Year,Document_Type,WoS_ID,Citation_context,Explanans,Explanadum,Combined_Title_Classification,Serum_cholesterol _(SC),Blood_Pressure_(BP),Coffee_(C) ,Diet_(D),Smoking_(S),Alcohol_(A),Physical_Activity_(PA),Body_Fatness_(BF),Indegree,Outdegree,Main_component,Cluster,Cluster_Name
175,WYSHAM DN, AM HEART J, V79, P181, 10.1016/0002-8703(70)90307-8,CORONARY RISK FACTORS IN NORTHERN INDIA,1970,Article,WOS:A1970F429300006,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,,,,,,,,1,5,Yes,3,Diet 
176,FORRESTER JS, NEW ENGL J MED, V283, P786, 10.1056/NEJM197010082831504,NONCORONARY FACTORS IN ANGINAL SYNDROME,1970,Article,WOS:A1970H443400004,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,7,Psychosocial
177,INSULL W, AM J CLIN NUTR, V23, P17,,ADIPOSE TISSUE FATTY ACID DIFFERENCES IN AMERICAN MEN BETWEEN 1962 AND 1966,1970,Article,WOS:A1970F372900007,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,SC,,,,,,,,0,2,Yes,3,Diet 
178,KELLER MD, AM J PUBLIC HEALTH N, V60, P1466, 10.2105/AJPH.60.8.1466,A STUDY OF PRIMARY PREVENTION OF CORONARY HEART DISEASE,1970,Article,WOS:A1970H175400015,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,3,Yes,1,Blood pressure and Unspecified CHD 
179,SHEKELLE RB, J CHRON DIS, V23, P33, 10.1016/0021-9681(70)90106-2,PERSONALITY TRAITS AND CORONARY HEART DISEASE - A RE-EXAMINATION OF IBRAHIMS HYPOTHESIS USING LONGITUDINAL DATA,1970,Article,WOS:A1970G742500004,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,0,3,Yes,7,Psychosocial
180,LILJEFORS I, ACTA MED SCAND, P9,,,CORONARY HEART DISEASE IN MALE TWINS - HEREDITARY AND ENVIRONMENTAL FACTORS IN CONCORDANT AND DISCORDANT PAIRS,1970,Article,WOS:A1970H726800001,Inaccessible,,,,,,,,,,,,3,10,Yes,0,Serum cholesterol and Unspecified CHD 
181,SINGH TJ, INDIAN J MED RES, V58, P125,,"EFFECT OF CAFFEINE AND COFFEE ON SERUM CHOLESTEROL, FREE FATTY ACIDS AND TRIGLYCERIDES LEVELS IN PIGS",1970,Article,WOS:A1970G387100020,Inaccessible,,,,,,,,,,,,2,3,Yes,2,Caffeine 
182,FLETCHER CM, WHO CHRON, V24, P345,,SMOKING AND HEALTH,1970,Article,WOS:A1970H098400002,Inaccessible,,,,,,,,,,,,0,4,Yes,5,Physical activity 
183,KANNEL WB, ANN INTERN MED, V74, P1, 10.7326/0003-4819-74-1-1,"SERUM CHOLESTEROL, LIPOPROTEINS, AND RISK OF CORONARY HEART DISEASE - FRAMINGHAM STUDY",1971,Article,WOS:A1971I264400001,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,,,,,,29,2,Yes,0,Serum cholesterol and Unspecified CHD 
184,KEYS A, ARCH INTERN MED, V128, P201, 10.1001/ARCHINTE.128.2.201,MORTALITY AND CORONARY HEART DISEASE AMONG MEN STUDIED FOR 23 YEARS,1971,Article,WOS:A1971K036900001,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,,,,,,,,16,5,Yes,4,Body fatness and Unspecified CHD 
185,CHAPMAN JM, J CHRON DIS, V23, P631, 10.1016/0021-9681(71)90159-7,"DIFFERENTIAL EFFECT OF SERUM CHOLESTEROL, BLOOD PRESSURE AND WEIGHT ON INCIDENCE OF MYOCARDIAL INFARCTION AND ANGINA-PECTORIS",1971,Article,WOS:A1971J031700004,Yes,BLOOD LIPIDS|HYPERTENSION|BODY WEIGHT,CHD,BLOOD LIPIDS|HYPERTENSION|BODY WEIGHT,SC,BP,,,,,,BF,10,3,Yes,4,Body fatness and Unspecified CHD 
186,CASSEL J, ARCH INTERN MED, V128, P920, 10.1001/ARCHINTE.128.6.920,OCCUPATION AND PHYSICAL ACTIVITY AND CORONARY HEART DISEASE,1971,Article,WOS:A1971L005400008,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,9,6,Yes,5,Physical activity 
187,FOX SM, ANN CLIN RES, V3, P404,,PHYSICAL ACTIVITY AND PREVENTION OF CORONARY HEART-DISEASE,1971,Article,WOS:A1971L345500012,Yes,EXERCISE,CHD,EXERCISE,,,,,,,PA,,4,6,Yes,5,Physical activity 
188,CASSEL JC, ARCH INTERN MED, V128, P890, 10.1001/ARCHINTE.128.6.890,REVIEW OF 1960 THROUGH 1962 CARDIOVASCULAR DISEASE PREVALENCE STUDY,1971,Review,WOS:A1971L005400003,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,2,1,Yes,1,Blood pressure and Unspecified CHD 
189,KANNEL WB, HUM PATHOL, V2, P129, 10.1016/S0046-8177(71)80023-0,SERUM LIPID PRECURSORS OF CORONARY HEART DISEASE,1971,Article,WOS:A1971I742100005,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,,,,,,2,2,Yes,0,Serum cholesterol and Unspecified CHD 
190,PAUL O, CIRCULATION, V43, P7, 10.1161/01.CIR.43.1.7,SUDDEN DEATH,1971,Editorial Material,WOS:A1971I225000003,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,2,1,Yes,4,Body fatness and Unspecified CHD 
191,FRIEDMAN M, ANN CLIN RES, V3, P300,,TYPE A BEHAVIOR PATTERN - ITS ASSOCIATION WITH CORONARY HEART-DISEASE,1971,Review,WOS:A1971L345500003,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,1,1,Yes,0,Serum cholesterol and Unspecified CHD 
192,HEYDEN S, ARCH INTERN MED, V128, P956, 10.1001/ARCHINTE.128.6.956,WEIGHT AND WEIGHT HISTORY IN RELATION TO CEREBROVASCULAR AND ISCHEMIC HEART DISEASE,1971,Article,WOS:A1971L005400013,Yes,BODY WEIGHT,CHD|STROKE,BODY WEIGHT,,,,,,,,,1,4,Yes,1,Blood pressure and Unspecified CHD 
193,HEYDEN S, ARCH INTERN MED, V128, P961, 10.1001/ARCHINTE.128.6.961,ANGINA PECTORIS AND ROSE QUESTIONNAIRE,1971,Article,WOS:A1971L005400014,Yes,METHOD,CHD,Unspecified CHD,,,,,,,,,1,1,Yes,1,Blood pressure and Unspecified CHD 
194,LESSER GT, METABOLISM, V20, P792, 10.1016/S0026-0495(71)80009-4,USE OF INDEPENDENT MEASUREMENT OF BODY FAT TO EVALUATE OVERWEIGHT AND UNDERWEIGHT,1971,Article,WOS:A1971K018400009,Yes,METHOD,BODY WEIGHT,BODY WEIGHT,,,,,,,,BF,0,3,Yes,1,Blood pressure and Unspecified CHD 
195,MILNE JS, BRIT J PREV SOC MED, V25, P105,,COMPARISON OF TEACHING MACHINE WITH AN OBSERVER IN DETECTION OF ANGINA PECTORIS BY QUESTIONNAIRE,1971,Article,WOS:A1971J447500007,Yes,METHOD,CHD,Unspecified CHD,,,,,,,,,0,1,No,,
196,MURATA K, JPN HEART J, V12, P460,,"RELATION OF BLOOD PRESSURE AND SERUM TOTAL CHOLESTEROL TO SEVERITY OF ATHEROSCLEROTIC LESIONS IN AORTA, CORONARY AND CEREBRAL ARTERIES",1971,Article,WOS:A1971K399500005,Yes,BLOOD LIPIDS|HYPERTENSION,CHD,BLOOD LIPIDS|HYPERTENSION,SC,BP,,,,,,,0,1,No,,
197,OALMANN MC, AM J EPIDEMIOL, V94, P531, 10.1093/OXFORDJOURNALS.AJE.A121352,CARDIOVASCULAT MORTALITY IN A COMMUNITY - METHODOLOGY AND OBJECTIVE DIAGNOSTIC CRITERIA,1971,Article,WOS:A1971L130900003,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,0,1,No,,
198,PFLANZ M, ADV PSYCHOSOM MED, V6, P121,,EPIDEMIOLOGICAL AND SOCIOCULTURAL FACTORS IN ETIOLOGY OF DUODENAL ULCER,1971,Article,WOS:A1971J116000005,Yes,PSYCHOSOCIAL,DUODENAL ULCER,PSYCHOSOCIAL,,,,,,,,,0,1,No,,
199,SCHNEIDER RA, J CHRON DIS, V23, P647, 10.1016/0021-9681(71)90160-3,ARTERIAL PRESSURES RECORDED IN HOSPITAL AND DURING ORDINARY DAILY ACTIVITIES - CONTRASTING DATA IN SUBJECTS WITH AND WITHOUT ISCHEMIC HEART DISEASE,1971,Article,WOS:A1971J031700005,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,0,2,Yes,1,Blood pressure and Unspecified CHD 
200,SLABY A, ATHEROSCLEROSIS, V14, P79, 10.1016/0021-9150(71)90040-2,ARTERIAL BLOOD PRESSURE AND MANIFESTATION OF ATHEROSCLEROSIS IN A RURAL POPULATION OF NORTH BOHEMIA,1971,Article,WOS:A1971K171300008,Yes,HYPERTENSION,CHD,HYPERTENSION,,BP,,,,,,,0,7,Yes,1,Blood pressure and Unspecified CHD 
201,DAYTON S, FED PROC, V30, P849,,RATIONALE FOR USE OF LIPID-LOWERING DRUGS,1971,Article,WOS:A1971J335800006,Inaccessible,,,,,,,,,,,,2,7,Yes,1,Blood pressure and Unspecified CHD 
202,KAGAN A, ISRAEL J MED SCI, V7, P1573,,CORONARY HEART-DISEASE AMONG MEN OF JAPANESE ANCESTRY IN HAWAII - HONOLULU HEART STUDY,1971,Article,WOS:A1971L145800035,Inaccessible,,,,,,,,,,,,1,3,Yes,0,Serum cholesterol and Unspecified CHD 
203,BRUSIS OA, FED PROC, V30, P1417,,NUTRITION AND MANS HEART AND BLOOD VESSELS,1971,Article,WOS:A1971K032700012,Inaccessible,,,,,,,,,,,,0,10,Yes,2,Caffeine 
204,FEINBERG GL, NEW YORK STATE J MED, V71, P2200,,OBESITY - CLASS-IV ANESTHESIA RISK,1971,Article,WOS:A1971K251500015,Inaccessible,,,,,,,,,,,,0,1,No,,
205,SHARKEY TP, J AM DIET ASSOC, V58, P528,,DIABETES MELLITUS - PRESENT PROBLEMS AND NEW RESEARCH .7. RETINOPATHY,1971,Article,WOS:A1971J387900005,Inaccessible,,,,,,,,,,,,0,4,Yes,1,Blood pressure and Unspecified CHD 
206,BARANOV VG, SOV MEDITISINA, P16,,,"ADIPOSITY, LIPIDS METABOLISM AND ATHEROSCLEROSIS",1972,Article,WOS:A1972L545100003,Foreign,,,,,,,,,,,,0,1,No,,
207,SANDHOFER F, WIEN KLIN WOCHENSCHR, V84, P467,,OBESITY AND CORONARY-ARTERIES,1972,Review,WOS:A1972N022700002,Foreign,,,,,,,,,,,,0,5,Yes,1,Blood pressure and Unspecified CHD 
208,STOCKSME.U, HERZ KREISLAUF, V4, P106,,NUTRITION AS CONTRIBUTION TO PREVENTION OF ARTERIOSCLEROTICALLY CONDITIONED HEART AND CIRCULATORY DISEASES,1972,Article,WOS:A1972M201800005,Foreign,,,,,,,,,,,,0,2,Yes,3,Diet 
209,KEYS A, ANN INTERN MED, V77, P15, 10.7326/0003-4819-77-1-15,CORONARY HEART-DISEASE - OVERWEIGHT AND OBESITY AS RISK FACTORS,1972,Article,WOS:A1972M914000003,Yes,BODY WEIGHT,CHD,BODY WEIGHT,,,,,,,,BF,13,8,Yes,4,Body fatness and Unspecified CHD 
210,KEYS A, CIRCULATION, V45, P815, 10.1161/01.CIR.45.4.815,PROBABILITY OF MIDDLE-AGED MEN DEVELOPING CORONARY HEART-DISEASE IN 5 YEARS,1972,Article,WOS:A1972M157100010,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,BF,12,7,Yes,0,Serum cholesterol and Unspecified CHD 
211,GORDON T, J AMER MED ASSOC, V221, P661, 10.1001/JAMA.221.7.661,"PREDISPOSITION TO ATHEROSCLEROSIS IN HEAD, HEART, AND LEGS - FRAMINGHAM STUDY",1972,Article,WOS:A1972N197400001,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,,8,4,Yes,0,Serum cholesterol and Unspecified CHD 
212,GODFREY RC, AUST PAEDIATR J, V8, P72,,CHOLESTEROL AND CHILD - STUDIES OF CHOLESTEROL LEVELS OF BUSSELTON SCHOOL-CHILDREN AND THEIR PARENTS,1972,Article,WOS:A1972N396500002,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,SC,BP,,,S,,PA,BF,3,2,Yes,0,Serum cholesterol and Unspecified CHD 
213,MEADE TW, LANCET, V2, P913,,ARTERIAL-DISEASE RESEARCH - OBSERVATION OR INTERVENTION,1972,Review,WOS:A1972YY85100014,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,,,3,4,Yes,0,Serum cholesterol and Unspecified CHD 
216,[ANONYMOUS], FOOD COSMET TOXICOL, V10, P102,,DO HAVE SOME COFFEE BEFORE YOU LEAVE,1972,Note,WOS:A1972L688800012,Yes,CAFFEINE,UNSPECIFIED,CAFFEINE,,,C,,,,,,0,4,Yes,2,Caffeine 
217,TOMINAGA S, AM J CARDIOL, V29, P767, 10.1016/0002-9149(72)90494-8,SERIAL ELECTROCARDIOGRAPHIC CHANGES IN MYOCARDIAL-INFARCTION,1972,Article,WOS:A1972M750000004,Yes,ECG,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
218,VUOPALA U, ACTA MED SCAND, P1,,,RESUMPTION OF WORK AFTER MYOCARDIAL-INFARCTION IN NORTHERN FINLAND,1972,Article,WOS:A1972N330200001,Inaccessible,,,,,,,,,,,,1,4,Yes,5,Physical activity 
219,BARROW MV, MOD TREAT, V9, P357,,PRECURSORS AND PREVENTION OF CORONARY-ARTERY DISEASE - OVERVIEW,1972,Review,WOS:A1972N864000004,Inaccessible,,,,,,,,,,,,0,15,Yes,1,Blood pressure and Unspecified CHD 
220,JOUVE A, ARCH MAL COEUR VAISS, V66, P25,,FIRST RESULTS OF A PROSPECTIVE INVESTIGATION ON CARDIOVASCULAR DISEASES IN A GREAT ADMINISTRATION,1973,Article,WOS:A1973O904900002,Foreign,,,,,,,,,,,,1,3,Yes,0,Serum cholesterol and Unspecified CHD 
221,LOBOVA TM, KOSM BIOL AVIAK MED+, V7, P32,,BLOOD AND TISSUE LIPIDS IN HYPODYNAMIC RATS,1973,Article,WOS:A1973Q797700007,Foreign,,,,,,,,,,,,0,1,No,,
222,STUDLAR M, Z ERNAHRUNGSWISS, V12, P109, 10.1007/BF02023909,INFLUENCE OF CAFFEINE ON FAT AND CARBOHYDRATE METABOLISM OF HUMANS,1973,Article,WOS:A1973Q129500001,Foreign,,,,,,,,,,,,1,9,Yes,2,Caffeine 
223,AVOGARO P, ISRAEL J MED SCI, V9, P114,,PLASMA AND URINE CORTISOL BEHAVIOR AND FAT MOBILIZATION IN MAN AFTER COFFEE INGESTION,1973,Article,WOS:A1973O790600002,Inaccessible,,,,,,,,,,,,2,5,Yes,2,Caffeine 
224,ROMO M, ACTA MED SCAND, P1,,,FACTORS RELATED TO SUDDEN DEATH IN ACUTE ISCHEMIC HEART-DISEASE - COMMUNITY STUDY IN HELSINKI,1973,Article,WOS:A1973Q516900001,Inaccessible,,,,,,,,,,,,1,15,Yes,1,Blood pressure and Unspecified CHD 
225,KLATSKY AL, JAMA-J AM MED ASSOC, V226, P540, 10.1001/JAMA.226.5.540,COFFEE DRINKING PRIOR TO ACUTE MYOCARDIAL-INFARCTION - RESULTS FROM KAISER-PERMANENTE EPIDEMIOLOGIC STUDY OF MYOCARDIAL-INFARCTION,1973,Article,WOS:A1973R050200002,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,12,3,Yes,2,Caffeine 
226,MEDALIE JH, J CHRON DIS, V26, P329, 10.1016/0021-9681(73)90036-2,5 YEAR MYOCARDIAL-INFARCTION INCIDENCE .2. ASSOCIATION OF SINGLE VARIABLES TO AGE AND BIRTHPLACE,1973,Article,WOS:A1973Q503900002,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,D,,,,,9,10,Yes,4,Body fatness and Unspecified CHD 
227,STAMLER J, MED CLIN N AM, V57, P5, 10.1016/S0025-7125(16)32300-8,EPIDEMIOLOGY OF CORONARY HEART-DISEASE,1973,Review,WOS:A1973O523900003,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,,,,,,,,7,7,Yes,0,Serum cholesterol and Unspecified CHD 
228,ARONOW WS, J AM GERIATR SOC, V21, P58, 10.1111/J.1532-5415.1973.TB01219.X,"SERUM-LIPIDS, SERUM URIC-ACID AND GLUCOSE-TOLERANCE IN CORONARY HEART-DISEASE",1973,Article,WOS:A1973O971500004,Yes,BLOOD LIPIDS|BLOOD GLUCOSE,CHD,BLOOD LIPIDS,SC,,,,,,,,4,5,Yes,0,Serum cholesterol and Unspecified CHD 
229,MEDALIE JH, J CHRON DIS, V26, P63, 10.1016/0021-9681(73)90006-4,"MYOCARDIAL-INFARCTION OVER A 5-YEAR PERIOD .1. PREVALENCE, INCIDENCE AND MORTALITY EXPERIENCE",1973,Article,WOS:A1973O889300002,Yes,UNSPECIFIED,CHD,Unspecified CHD,,,,,,,,,3,4,Yes,4,Body fatness and Unspecified CHD 
230,SCHUBERT WK, AM J CARDIOL, V31, P581, 10.1016/0002-9149(73)90325-1,FAT NUTRITION AND DIET IN CHILDHOOD,1973,Article,WOS:A1973P539500006,Yes,DIET,UNSPECIFIED,DIET,SC,,,,,,,,3,4,Yes,0,Serum cholesterol and Unspecified CHD 
231,NIKKILA EA, LANCET, V1, P954,,FAMILY STUDY OF SERUM-LIPIDS AND LIPOPROTEINS IN CORONARY HEART-DISEASE,1973,Article,WOS:A1973P483600002,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,SC,,,D,,,,,2,4,Yes,0,Serum cholesterol and Unspecified CHD 
232,RAJAPAKSE DA, LANCET, V1, P313,,COFFEE DRINKING AND ACUTE MYOCARDIAL-INFARCTION,1973,Letter,WOS:A1973O756500019,Yes,CAFFEINE,CHD,CAFFEINE,,,C,,,,,,2,6,Yes,2,Caffeine 
233,THIEL HG, J PSYCHOSOM RES, V17, P43, 10.1016/0022-3999(73)90086-X,STRESS FACTORS AND RISK OF MYOCARDIAL-INFARCTION,1973,Article,WOS:A1973O336700007,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,C,,,,,,2,1,Yes,3,Diet 
234,[ANONYMOUS], BMJ-BRIT MED J, V1, P566,,OBESITY AND CORONARY HEART-DISEASE,1973,Editorial Material,WOS:A1973P047800005,Yes,BODY WEIGHT,CHD,BODY WEIGHT,,,,,,,,BF,0,6,Yes,0,Serum cholesterol and Unspecified CHD 
235,ARONOW WS, CLIN PHARMACOL THER, V14, P358,,EFFECT OF HALOFENATE ON SERUM-LIPIDS,1973,Article,WOS:A1973P645000008,Yes,HALOFENATE,BLOOD LIPIDS,BLOOD LIPIDS,SC,,,,,,,,0,5,Yes,0,Serum cholesterol and Unspecified CHD 
236,DAUBRESSE JC, ACTA DIABETOL LAT, V10, P1069, 10.1007/BF02590703,"EFFECTS OF COFFEE AND CAFFEINE ON CARBOHYDRATE-METABOLISM, FREE FATTY-ACID, INSULIN, GROWTH-HORMONE AND CORTISOL PLASMA-LEVELS IN MAN",1973,Article,WOS:A1973S186100005,Yes,CAFFEINE,BLOOD LIPIDS| BLOOD GLUCOSE|HORMONE,CAFFEINE|BLOOD LIPIDS,,,C,,,,,,0,5,Yes,2,Caffeine 
237,FELDMAN JG, HUM BIOL, V45, P541,,DIFFERENTIAL FILIAL AGGREGATION OF CORONARY RISK-FACTORS,1973,Article,WOS:A1973S032700001,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,,,,,0,5,Yes,0,Serum cholesterol and Unspecified CHD 
238,FREIS ED, AM J MED, V55, P275, 10.1016/0002-9343(73)90129-0,"AGE, RACE, SEX AND OTHER INDEXES OF RISK IN HYPERTENSION",1973,Article,WOS:A1973Q688100002,Yes,AGE|ETHNICITY|SEX,HYPERTENSION,HYPERTENSION,SC,BP,,,S,,PA,BF,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
239,KITCHIN AH, BRIT HEART J, V35, P946,,PREVALENCE OF CLINICAL AND ELECTROCARDIOGRAPHIC EVIDENCE OF ISCHEMIC HEART-DISEASE IN OLDER POPULATION,1973,Article,WOS:A1973Q804000011,Yes,ECG,CHD,Unspecified CHD,,,,,,,,,0,2,Yes,5,Physical activity 
240,LEBOVITS BZ, J SPEC EDUC, V7, P289, 10.1177/002246697300700308,REGULAR EDUCATION - SIGNIFICANT DETERMINANT OF INTELLECTUAL AND EMOTIONAL TURMOIL,1973,Article,WOS:A1973R522800008,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,0,3,Yes,7,Psychosocial
241,MEADE TW, P ROY SOC MED, V66, P644, 10.1177/003591577306600721,DIET AND ARTERIAL DISEASE,1973,Article,WOS:A1973Q009500021,Yes,DIET,CHD,DIET,,,,D,,,,,0,6,Yes,0,Serum cholesterol and Unspecified CHD 
242,ROSEN AJ, ARCH SURG-CHICAGO, V107, P303,,RISK-FACTORS IN PERIPHERAL ATHEROSCLEROSIS,1973,Article,WOS:A1973Q381800034,Yes,UNSPECIFIED,PERIPHERAL ATHEROSCLEROSIS,,SC,BP,,,S,,,,0,5,Yes,0,Serum cholesterol and Unspecified CHD 
243,SCOTT RA, AM J PATHOL, V70, P209,,RELATIONS BETWEEN METABOLIC INCREASE OF PLASMA FREE FATTY-ACIDS AND OCCURRENCE OF ARTERIOSCLEROTIC THROMBOARTERITIS IN RABBITS,1973,Article,WOS:A1973O695700004,Yes,BLOOD LIPIDS,CHD,BLOOD LIPIDS,,,,,S,,,,0,3,Yes,8,Smoking
244,WAKLEY EJ, CARDIOVASC RES, V7, P679, 10.1093/CVR/7.5.679,BLOOD GROUP-A SUBGROUPS AND SERUM-CHOLESTEROL,1973,Article,WOS:A1973Q709400016,Yes,UNSPECIFIED,BLOOD LIPIDS,BLOOD LIPIDS,SC,,,,,,,,0,2,Yes,0,Serum cholesterol and Unspecified CHD 
245,GORDON T, GERIATRICS, V28, P80,,EFFECTS OF OVERWEIGHT ON CARDIOVASCULAR DISEASES,1973,Article,WOS:A1973Q516500007,Inaccessible,,,,,,,,,,,,6,5,Yes,4,Body fatness and Unspecified CHD 
246,GYNTELBERG F, DAN MED BULL, V20, P105,,PHYSICAL FITNESS AND CORONARY HEART-DISEASE IN COPENHAGEN MALES AGED 40-59 .2.,1973,Article,WOS:A1973Q491200001,Inaccessible,,,,,,,,,,,,2,3,Yes,1,Blood pressure and Unspecified CHD 
247,THOMAS CB, JOHNS HOPKINS MED J, V132, P16,,"PSYCHOBIOLOGICAL CHARACTERISTICS IN YOUTH AS PREDICTORS OF 5 DISEASE STATES - SUICIDE, MENTAL-ILLNESS, HYPERTENSION, CORONARY HEART-DISEASE AND TUMOR",1973,Article,WOS:A1973O583900002,Inaccessible,,,,,,,,,,,,2,7,Yes,7,Psychosocial
248,ARO A, ACTA MED SCAND, P1,,,SERUM-LIPIDS AND LIPOPROTEINS IN FIRST DEGREE RELATIVES OF YOUNG SURVIVORS OF MYOCARDIAL-INFARCTION,1973,Article,WOS:A1973R593900001,Inaccessible,,,,,,,,,,,,1,10,Yes,0,Serum cholesterol and Unspecified CHD 
249,SHARP JT, AM REV RESPIR DIS, V108, P1066,,"LONGITUDINAL STUDY OF BRONCHITIC SYMPTOMS AND SPIROMETRY IN A MIDDLE-AGED, MALE, INDUSTRIAL POPULATION",1973,Article,WOS:A1973R247300002,Inaccessible,,,,,,,,,,,,0,2,No,,
250,BRANDAU K, ARZNEIMITTELFORSCH, V24, P1535,,APPLICATION OF A SIMPLE METHOD TO DETERMINE MODE OF ACTION OF ORAL ANTI-HYPERCHOLESTEREMIC DRUGS,1974,Article,WOS:A1974U578100001,Foreign,,,,,,,,,,,,0,5,Yes,0,Serum cholesterol and Unspecified CHD 
251,CHERRIER F, COEUR MED INTERNE, V13, P405,,LIPID ANOMALIES IN 209 CORONARY PATIENTS WHO UNDERWENT SELECTIVE CORONARY ARTERIOGRAPHY .2. LESION AND PROGNOSTIC INCIDENCES,1974,Article,WOS:A1974T610600002,Foreign,,,,,,,,,,,,0,5,Yes,0,Serum cholesterol and Unspecified CHD 
252,HASHIMOTO T, JPN CIRC J, V38, P683,,STUDIES ON CLINICAL PREDICTION OF MYOCARDIAL-INFARCTION,1974,Article,WOS:A1974U032400005,Foreign,,,,,,,,,,,,0,6,Yes,1,Blood pressure and Unspecified CHD 
253,RICHARD JL, REV EPIDEMIOL SANTE, V22, P445,,RETURN TO WORK AFTER MYOCARDIAL-INFARCTION - STUDY OF A SAMPLE OF PERSONS INSURED WITH SOCIAL-SECURITY IN PARIS REGION,1974,Article,WOS:A1974U430800002,Foreign,,,,,,,,,,,,0,4,Yes,5,Physical activity 
254,KLATSKY AL, ANN INTERN MED, V81, P294, 10.7326/0003-4819-81-3-294,ALCOHOL CONSUMPTION BEFORE MYOCARDIAL-INFARCTION - RESULTS FROM KAISER-PERMANENTE EPIDEMIOLOGIC STUDY OF MYOCARDIAL-INFARCTION,1974,Article,WOS:A1974U112500002,Yes,ALCOHOL,CHD,ALCOHOL,,,,,,A,,,29,1,Yes,6,Alcohol 
255,KAGAN A, J CHRON DIS, V27, P345, 10.1016/0021-9681(74)90014-9,"EPIDEMIOLOGIC STUDIES OF CORONARY HEART-DISEASE AND STROKE IN JAPANESE MEN LIVING IN JAPAN, HAWAII AND CALIFORNIA - DEMOGRAPHIC, PHYSICAL, DIETARY AND BIOCHEMICAL CHARACTERISTICS",1974,Article,WOS:A1974U216900003,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,8,5,Yes,3,Diet 
256,KLEVAY LM, NUTR REP INT, V9, P393,,ASSOCIATION BETWEEN AMOUNT OF FAT AND RATIO OF ZINC TO COPPER IN 71 FOODS - INFERENCES ABOUT EPIDEMIOLOGY OF CORONARY HEART-DISEASE,1974,Article,WOS:A1974T254000001,Yes,DIET,CHD,DIET,,,,D,,,,,2,4,Yes,3,Diet 
257,ROSE G, LANCET, V1, P181, 10.1016/S0140-6736(74)92492-1,COLON CANCER AND BLOOD-CHOLESTEROL,1974,Article,WOS:A1974S070900001,Yes,BLOOD LIPIDS,CANCER,BLOOD LIPIDS,,,,,,,,,2,3,Yes,4,Body fatness and Unspecified CHD 
258,WILMORE JH, J PEDIATR-US, V84, P527, 10.1016/S0022-3476(74)80672-4,"PREVALENCE OF CORONARY HEART-DISEASE RISK-FACTORS IN BOYS, 8 TO 12 YEARS OF AGE",1974,Article,WOS:A1974S532900012,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,PA,BF,2,3,Yes,0,Serum cholesterol and Unspecified CHD 
259,HORAN PM, J HEALTH SOC BEHAV, V15, P300, 10.2307/2137090,"STATUS INCONSISTENCY, MOBILITY AND CORONARY HEART DISEASE",1974,Article,WOS:A1974V649700003,Yes,PSYCHOSOCIAL,CHD,PSYCHOSOCIAL,,,,,,,,,1,2,Yes,7,Psychosocial
260,OSTRANDER LD, ARCH INTERN MED, V134, P224, 10.1001/ARCHINTE.134.2.224,"BIOCHEMICAL PRECURSORS OF ATHEROSCLEROSIS - STUDIES IN APPARENTLY HEALTHY MEN IN A GENERAL POPULATION, TECUMSEH, MICH",1974,Article,WOS:A1974T812700002,Yes,UNSPECIFIED,CHD,Unspecified CHD,SC,BP,,,S,,,,1,3,Yes,1,Blood pressure and Unspecified CHD 
